epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24456.4,0.50596,0.3262,0.00295,0.95073,0.96772,0.97719,0.83355,0.62091,0.28177,0.01342,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,25217,0.50513,0.32709,0.00294,0.94237,0.96838,0.97705,0.83185,0.62447,0.28568,0.01346,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,25977.7,0.50219,0.31672,0.00289,0.94856,0.96951,0.97819,0.83264,0.62557,0.28377,0.01353,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,26738.7,0.50262,0.31994,0.00289,0.9483,0.97056,0.97793,0.83324,0.62547,0.28299,0.01351,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,27499.3,0.5016,0.31726,0.00293,0.95479,0.96949,0.97738,0.83258,0.62266,0.28367,0.01347,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,28260.1,0.49879,0.30907,0.0029,0.95306,0.97039,0.97756,0.83297,0.61817,0.27934,0.01344,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,29021.1,0.49647,0.32221,0.00288,0.9559,0.97056,0.97774,0.83359,0.61869,0.27746,0.01352,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,29781.2,0.4948,0.31464,0.00288,0.95234,0.97051,0.97806,0.83374,0.61947,0.2769,0.01361,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,30542.1,0.49824,0.30539,0.00287,0.95194,0.97004,0.97801,0.83337,0.62011,0.2782,0.01365,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,31302.7,0.49318,0.30783,0.00284,0.95112,0.97097,0.97788,0.83358,0.62094,0.28006,0.01374,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,32063.2,0.49009,0.3169,0.00281,0.94777,0.969,0.97708,0.83304,0.62145,0.28046,0.01381,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,32823.8,0.49299,0.31664,0.00283,0.93383,0.96541,0.97547,0.83164,0.62196,0.28811,0.01388,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,33584.6,0.49086,0.32067,0.00284,0.91921,0.96317,0.97416,0.82992,0.62538,0.29393,0.01399,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,34344.9,0.4933,0.31562,0.00286,0.91203,0.96489,0.97366,0.82959,0.62688,0.29732,0.01401,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,35105.1,0.49254,0.31062,0.00284,0.90681,0.96572,0.97262,0.82859,0.62894,0.31166,0.01414,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,35865.6,0.48433,0.30402,0.00277,0.90866,0.96717,0.97229,0.82812,0.62997,0.30189,0.01419,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,36626.7,0.48217,0.31119,0.00278,0.90565,0.96903,0.97215,0.82761,0.63069,0.2995,0.01416,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,37386.7,0.48496,0.30548,0.00277,0.90761,0.96744,0.97171,0.82773,0.63364,0.30076,0.01429,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,38147.3,0.48305,0.30932,0.00278,0.90814,0.96755,0.97323,0.82904,0.63672,0.29953,0.01437,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,38907.9,0.48376,0.29859,0.00278,0.91783,0.96614,0.97441,0.82921,0.64119,0.29646,0.01444,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
