epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12074.5,0.56333,0.37252,0.00272,0.95741,0.95819,0.97314,0.8183,0.65538,0.29524,0.0132,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,12455.5,0.56574,0.37065,0.00268,0.96234,0.9609,0.97476,0.82436,0.64259,0.28041,0.01329,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,12827.6,0.56514,0.35748,0.00266,0.96081,0.9569,0.97534,0.82057,0.67338,0.2931,0.01351,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,13210.1,0.55972,0.35628,0.00263,0.95887,0.95638,0.97404,0.82644,0.65918,0.28607,0.01337,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,13582.5,0.55106,0.36439,0.00261,0.96131,0.95839,0.97338,0.8265,0.6399,0.28729,0.01337,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,13957.7,0.55006,0.36044,0.00255,0.96046,0.94818,0.97225,0.81955,0.63333,0.29641,0.0133,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,14336.6,0.54319,0.36608,0.00254,0.95181,0.96559,0.97614,0.82711,0.64017,0.29121,0.0133,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,14709.4,0.54858,0.35787,0.00257,0.95516,0.96299,0.97433,0.82324,0.65391,0.28608,0.01369,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,15092,0.54243,0.35674,0.0025,0.95103,0.95569,0.97268,0.82209,0.663,0.30518,0.01327,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,15465.7,0.54216,0.3557,0.00254,0.95572,0.9603,0.97443,0.82921,0.63812,0.28142,0.01325,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,15842.3,0.53992,0.35149,0.00248,0.95837,0.95585,0.97466,0.82418,0.64422,0.2813,0.01346,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,16222.6,0.53921,0.34862,0.00244,0.95664,0.9564,0.97124,0.82509,0.64999,0.28949,0.01343,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,16594.2,0.53764,0.33459,0.00238,0.96084,0.96075,0.97329,0.82633,0.65428,0.28056,0.01342,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,16978.1,0.53181,0.34241,0.00243,0.96017,0.95728,0.97387,0.82784,0.62275,0.29347,0.01322,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,17349.9,0.5307,0.34507,0.00238,0.95862,0.96246,0.97482,0.82713,0.64008,0.28383,0.01337,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,17727.1,0.52128,0.34494,0.0023,0.96016,0.96058,0.9737,0.82861,0.62861,0.29487,0.01315,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,18106.9,0.52265,0.33324,0.00232,0.95881,0.96445,0.97451,0.82857,0.62954,0.2768,0.01338,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,18479.2,0.52689,0.31718,0.00233,0.96364,0.96483,0.97493,0.82766,0.66137,0.28226,0.01341,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,18863,0.5235,0.32942,0.00228,0.95879,0.96174,0.97454,0.82641,0.6414,0.28615,0.01326,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
