epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1730.35,0.47521,0.3531,0.86493,0.96261,0.97472,0.97919,0.83123,0.54079,0.54507,0.94025,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1782.72,0.47618,0.35236,0.86596,0.96755,0.97253,0.98047,0.83476,0.54025,0.53201,0.95771,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,1835.34,0.47195,0.34677,0.86447,0.96407,0.9757,0.97972,0.83856,0.53846,0.52806,0.9665,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,1888.23,0.47071,0.34551,0.86255,0.9674,0.97393,0.97969,0.83972,0.55403,0.53084,0.9599,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,1943.21,0.46716,0.34213,0.86179,0.9656,0.97393,0.97876,0.8392,0.54354,0.52656,0.98043,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,1999.11,0.46562,0.34234,0.86252,0.96656,0.97588,0.97928,0.83585,0.54533,0.53218,0.96435,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2051.95,0.46369,0.33954,0.86106,0.96645,0.97519,0.97975,0.84454,0.53666,0.53397,0.97181,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2107.19,0.46186,0.33734,0.85909,0.96394,0.97863,0.9807,0.84904,0.53984,0.51996,0.98897,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2163.56,0.46209,0.33858,0.86007,0.96553,0.9745,0.98063,0.84128,0.54964,0.53995,0.96776,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2216.25,0.46226,0.33601,0.85891,0.9664,0.97447,0.97997,0.84335,0.53494,0.52634,0.97714,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,2269.24,0.45734,0.33549,0.85935,0.96553,0.97551,0.9799,0.84333,0.54996,0.53922,0.9861,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2322.31,0.45643,0.33046,0.8599,0.96031,0.97823,0.97938,0.83467,0.55627,0.51112,0.98725,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2375.1,0.45488,0.3276,0.85708,0.96806,0.97422,0.97797,0.83576,0.54573,0.54306,0.98483,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,2427.6,0.45567,0.32814,0.85712,0.96531,0.97591,0.97924,0.84367,0.54301,0.55441,0.97435,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2480.69,0.45694,0.32916,0.85874,0.96216,0.97624,0.97915,0.83988,0.53501,0.55079,0.97982,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,2535.91,0.45094,0.3262,0.85861,0.96513,0.9747,0.97886,0.8408,0.53868,0.54567,0.9817,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,2592.6,0.44924,0.32637,0.85653,0.96613,0.97693,0.97868,0.84173,0.5358,0.54393,0.97732,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,2648.99,0.44759,0.32193,0.85827,0.96913,0.97421,0.98089,0.84255,0.53944,0.54135,0.96519,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,2705.1,0.44737,0.32359,0.85802,0.96634,0.97332,0.97951,0.83848,0.53911,0.53505,0.99495,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,2761.22,0.44473,0.32342,0.85627,0.96446,0.97864,0.97936,0.83827,0.53529,0.54012,0.97263,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,2816.94,0.44548,0.32092,0.85561,0.96482,0.97782,0.97853,0.83922,0.53918,0.54696,0.9877,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,2873.08,0.44355,0.31763,0.85524,0.9684,0.97365,0.9792,0.84536,0.54056,0.54272,0.99293,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,2929.77,0.44127,0.31632,0.85593,0.96534,0.97635,0.98004,0.84923,0.53734,0.54579,0.99102,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,2985.66,0.44186,0.31765,0.85263,0.96673,0.97707,0.97979,0.84445,0.53526,0.53236,0.96436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,3040.99,0.44234,0.31673,0.85667,0.96602,0.97675,0.97875,0.85085,0.53865,0.54586,0.98014,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,3093.6,0.44099,0.31616,0.8535,0.9661,0.9747,0.97945,0.84633,0.53558,0.55562,0.96335,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,3148.53,0.43859,0.31391,0.85303,0.96527,0.97641,0.97901,0.83964,0.53838,0.53609,0.99564,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,3203.95,0.43627,0.31538,0.85316,0.96259,0.97792,0.97873,0.84775,0.53505,0.55804,0.97766,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,3259.77,0.43544,0.31277,0.85511,0.9649,0.97791,0.97903,0.84031,0.53197,0.54944,0.98546,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,3316.03,0.43535,0.31021,0.85211,0.96513,0.97679,0.97817,0.84332,0.53518,0.56129,0.98837,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,3370.19,0.43139,0.30939,0.8549,0.96513,0.97686,0.9784,0.84669,0.53073,0.55943,0.97392,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,3426.86,0.43005,0.30778,0.85131,0.96425,0.97778,0.97746,0.84687,0.53669,0.56065,0.9775,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,3483.86,0.43043,0.30722,0.85291,0.96788,0.97602,0.97901,0.85013,0.53757,0.55244,0.98739,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,3539.48,0.42878,0.3045,0.8542,0.96651,0.97733,0.97905,0.8486,0.53496,0.54545,0.97871,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,3594.82,0.42625,0.30389,0.85221,0.9693,0.97535,0.97844,0.85356,0.5341,0.55571,0.97061,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,3650.39,0.42619,0.30209,0.85167,0.96546,0.97516,0.97745,0.85114,0.53652,0.55494,0.98292,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,3704.87,0.42674,0.30438,0.85136,0.96726,0.97528,0.97695,0.84903,0.53656,0.55887,0.986,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,3760.67,0.42497,0.30234,0.85065,0.9657,0.97645,0.9774,0.83933,0.54009,0.54666,0.9877,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,3816.63,0.42443,0.30238,0.85114,0.96678,0.97552,0.9774,0.84257,0.53404,0.54468,0.97833,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,3869.51,0.42175,0.29678,0.84875,0.96655,0.97576,0.97786,0.84213,0.52899,0.55566,0.96866,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,3925.09,0.42126,0.29869,0.85191,0.96476,0.97577,0.97738,0.84466,0.53366,0.55136,0.97871,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,3980.75,0.42207,0.29576,0.85009,0.96607,0.97627,0.977,0.84878,0.54232,0.54262,0.98546,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,4036.75,0.41909,0.29656,0.85021,0.96675,0.9764,0.97707,0.84763,0.54055,0.54474,0.98027,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,4092.26,0.41671,0.29396,0.84747,0.96592,0.97779,0.97716,0.84568,0.53961,0.55741,0.97334,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,4148.73,0.41855,0.29618,0.8488,0.96556,0.97893,0.97706,0.84495,0.54205,0.54772,0.98721,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,4205.27,0.41625,0.28964,0.84784,0.96326,0.97851,0.97716,0.84536,0.54267,0.55383,0.98465,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,4261.97,0.41431,0.29,0.84928,0.96434,0.97659,0.97748,0.8472,0.54177,0.56155,0.97673,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,4318.51,0.41419,0.28903,0.84786,0.96773,0.97353,0.9769,0.84787,0.53708,0.56699,0.96739,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,4374.36,0.41245,0.29225,0.84816,0.96595,0.97662,0.97619,0.84692,0.53531,0.56466,0.97376,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,4430.46,0.40927,0.28798,0.847,0.96645,0.9762,0.97649,0.8469,0.53544,0.56576,0.97846,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
