epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2407.21,0.62052,0.34949,0.00286,0.95322,0.96109,0.97571,0.81295,0.6643,0.29596,0.0126,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2475.52,0.63385,0.33971,0.00295,0.96053,0.95218,0.9763,0.8274,0.62483,0.27525,0.01263,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2543.59,0.6232,0.34463,0.00285,0.9633,0.94888,0.9759,0.82322,0.64511,0.29066,0.01274,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2611.75,0.62253,0.33625,0.00283,0.95746,0.96336,0.97604,0.82151,0.64297,0.27224,0.01259,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2679.87,0.61728,0.33383,0.00283,0.96157,0.96323,0.97634,0.82576,0.64982,0.27019,0.01294,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2748.14,0.61264,0.33369,0.0028,0.93933,0.96204,0.9748,0.82348,0.65749,0.29237,0.01252,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2816.21,0.61005,0.33298,0.00275,0.96243,0.96445,0.97661,0.82405,0.64297,0.27249,0.01273,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2884.51,0.61377,0.33641,0.00277,0.94934,0.96373,0.97546,0.82646,0.62288,0.27912,0.01197,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2952.64,0.61862,0.33009,0.0028,0.95943,0.96257,0.9757,0.82483,0.63358,0.27439,0.01224,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3020.56,0.61553,0.32465,0.00279,0.96259,0.96537,0.97609,0.82802,0.62786,0.2726,0.01247,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3088.6,0.60079,0.32794,0.00277,0.96742,0.96075,0.97685,0.82666,0.62814,0.26498,0.01216,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3156.61,0.60186,0.3244,0.0027,0.95564,0.96509,0.97545,0.82898,0.61602,0.26695,0.01241,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3224.64,0.59661,0.32721,0.00268,0.96215,0.96487,0.97785,0.83,0.61568,0.26291,0.01227,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3293.03,0.59638,0.31935,0.00266,0.96618,0.96218,0.97699,0.82862,0.61855,0.26311,0.01246,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3361.11,0.59924,0.31637,0.00268,0.96768,0.96729,0.97621,0.82676,0.62662,0.25982,0.01236,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3429.53,0.59147,0.32023,0.00267,0.96432,0.96862,0.97726,0.83006,0.61777,0.26264,0.0124,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3497.98,0.59611,0.31382,0.00271,0.96365,0.97018,0.97707,0.82988,0.63743,0.26204,0.01252,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3566.21,0.58917,0.3108,0.00269,0.96464,0.96546,0.97657,0.82653,0.63678,0.25799,0.01279,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3633.96,0.5908,0.30621,0.00263,0.96546,0.96722,0.97697,0.82868,0.63179,0.25818,0.01256,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3701.9,0.58289,0.30939,0.0026,0.96427,0.96921,0.97786,0.83199,0.63177,0.25709,0.0127,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,3770.05,0.58628,0.304,0.00258,0.96498,0.96669,0.97813,0.83176,0.6185,0.26362,0.01259,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,3838.25,0.57529,0.31288,0.00254,0.9644,0.96266,0.97648,0.82955,0.61848,0.26731,0.01253,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,3906.62,0.57795,0.30824,0.00256,0.95399,0.96181,0.97322,0.82731,0.61646,0.27311,0.01247,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,3975.17,0.57272,0.29752,0.00249,0.95935,0.96945,0.97641,0.83188,0.62936,0.26536,0.01265,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4043.44,0.57278,0.30463,0.0025,0.96527,0.96693,0.9758,0.82987,0.62768,0.27289,0.01259,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4111.87,0.57556,0.3071,0.00252,0.9477,0.96461,0.97508,0.82981,0.63431,0.28493,0.01248,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4180.08,0.57532,0.29351,0.00255,0.966,0.96989,0.97573,0.82793,0.63026,0.25435,0.01254,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,4248.47,0.57146,0.29538,0.00247,0.95604,0.96663,0.9745,0.82704,0.63059,0.26541,0.01263,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,4316.8,0.56936,0.29116,0.00244,0.95406,0.96686,0.97556,0.83091,0.61679,0.26173,0.01233,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,4385.34,0.5693,0.28959,0.00247,0.96359,0.96813,0.97514,0.82894,0.61985,0.25839,0.01227,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4453.55,0.5656,0.29073,0.00243,0.96011,0.96784,0.97609,0.82933,0.61715,0.25606,0.01236,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4521.68,0.55845,0.29091,0.00239,0.9597,0.97095,0.9749,0.82856,0.63359,0.25677,0.01263,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,4589.89,0.55965,0.28718,0.00244,0.96268,0.96619,0.97498,0.82959,0.62772,0.25547,0.0126,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,4657.97,0.55428,0.2821,0.00241,0.96405,0.96729,0.97528,0.8294,0.63165,0.25504,0.01248,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,4726.36,0.55695,0.28783,0.00238,0.96362,0.96912,0.97683,0.83017,0.62912,0.25488,0.01243,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,4794.66,0.55301,0.28688,0.00236,0.96704,0.96738,0.97656,0.82916,0.62454,0.2539,0.01231,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,4862.99,0.55355,0.2818,0.00232,0.96623,0.96844,0.97608,0.83033,0.62138,0.25778,0.01246,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,4931.19,0.54809,0.28247,0.0023,0.96226,0.96841,0.97551,0.82738,0.62632,0.25975,0.01248,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,4999.42,0.553,0.28776,0.0023,0.96564,0.96736,0.97612,0.82829,0.62067,0.26116,0.01246,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5067.86,0.53865,0.28188,0.00224,0.96272,0.96763,0.97352,0.82804,0.62272,0.25992,0.01239,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,5136.19,0.53465,0.27608,0.00224,0.96178,0.97052,0.97394,0.82842,0.62055,0.25512,0.01231,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,5204.49,0.54136,0.26559,0.00223,0.96054,0.97029,0.97395,0.82657,0.62609,0.25658,0.01236,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,5272.74,0.53803,0.2754,0.00222,0.96394,0.9676,0.97385,0.82914,0.61839,0.26024,0.0122,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,5341.09,0.53381,0.26461,0.00221,0.96372,0.96583,0.97498,0.83028,0.62292,0.25992,0.01232,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,5409.08,0.52876,0.2753,0.00217,0.96452,0.96649,0.97517,0.82852,0.62537,0.25826,0.0124,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,5477.2,0.52654,0.27442,0.00216,0.96356,0.96823,0.97546,0.83165,0.61592,0.25844,0.0123,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,5545.43,0.52372,0.27113,0.00214,0.96266,0.9669,0.97492,0.83059,0.6197,0.26566,0.01229,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,5613.85,0.5221,0.27226,0.00212,0.96427,0.96931,0.97536,0.83042,0.61851,0.26235,0.01216,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,5682.01,0.52516,0.26413,0.0021,0.96211,0.96752,0.9754,0.82926,0.61859,0.26516,0.01219,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,5750.5,0.51856,0.26204,0.00211,0.96267,0.96851,0.97545,0.8304,0.61879,0.26622,0.0122,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,5818.75,0.51005,0.26635,0.00208,0.9636,0.97031,0.97435,0.82955,0.621,0.26579,0.01227,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,5886.8,0.51988,0.25978,0.00208,0.96137,0.96877,0.97327,0.82904,0.62057,0.26534,0.01232,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,5955.11,0.51237,0.2577,0.00206,0.96214,0.96784,0.97323,0.82829,0.62149,0.26701,0.01236,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,6023.18,0.51395,0.25139,0.00205,0.96454,0.96721,0.97306,0.82732,0.6224,0.26886,0.01235,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,6091.06,0.50743,0.2564,0.00202,0.96472,0.96891,0.97379,0.82736,0.61947,0.2667,0.01231,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,6159.1,0.50691,0.2609,0.00198,0.96358,0.9684,0.97265,0.82737,0.62112,0.26752,0.01235,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,6227.53,0.5003,0.25297,0.00198,0.9633,0.96907,0.97359,0.82814,0.62167,0.26859,0.01238,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6295.73,0.50012,0.25178,0.00197,0.96181,0.96413,0.97365,0.8279,0.61969,0.27002,0.01231,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6363.58,0.49656,0.24835,0.00197,0.96129,0.9693,0.97212,0.82749,0.62099,0.26645,0.0124,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,6431.96,0.49782,0.2483,0.00195,0.9632,0.9688,0.97234,0.82828,0.61906,0.26546,0.01237,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,6500.23,0.49289,0.24495,0.00193,0.96551,0.96902,0.97289,0.82826,0.62258,0.26661,0.01242,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,6567.69,0.48576,0.23367,0.00189,0.9661,0.96723,0.97295,0.82785,0.6231,0.26519,0.0124,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,6635.61,0.49159,0.238,0.00193,0.96743,0.96687,0.97298,0.82796,0.62712,0.26532,0.01241,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,6703.82,0.48609,0.23474,0.00187,0.96591,0.96751,0.97352,0.82753,0.62837,0.26564,0.01238,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,6771.63,0.48544,0.23595,0.00188,0.96583,0.96867,0.9734,0.82688,0.62944,0.2666,0.01244,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,6839.67,0.47372,0.24108,0.00182,0.96739,0.96681,0.9734,0.82756,0.6253,0.26846,0.01233,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,6907.52,0.4764,0.23659,0.00183,0.9657,0.96986,0.97348,0.8272,0.6264,0.26994,0.01236,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,6975.49,0.47314,0.23793,0.0018,0.9669,0.96976,0.97433,0.82815,0.62681,0.27014,0.01236,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,7044.36,0.46422,0.22707,0.00177,0.96651,0.97024,0.974,0.82864,0.62611,0.26928,0.01235,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,7113.1,0.46234,0.23063,0.00177,0.96541,0.96912,0.97313,0.82847,0.62421,0.27068,0.01233,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
